exercise_name_es,artifact,type,parent_exercise,tag,dose,name_en,name_pt,cue_es,cue_en,cue_pt
Arco y dedos del pie,movilidad,main,,Sin equipo,45s,Toe-Sit and Toe Spreads,Arco e dedos do pé,"Sentado sobre los talones con los dedos flexionados hacia adelante. Si es mucho, apóyate con las manos. Después abre y cierra los dedos.","Sit on the heels with the toes tucked under. If that's too much, take weight into the hands. Then spread and close the toes.","Sentado sobre os calcanhares com os dedos flexionados para frente. Se for demais, apoie as mãos. Depois abra e feche os dedos."
Escaneo corporal,recuperacion,main,,Sin equipo,180s,Body Scan,Varredura corporal,"Boca arriba, piernas largas, palmas arriba. Recorre el cuerpo de los pies a la cabeza, una respiración por zona, soltando lo que encuentres apretado. Mandíbula y trapecios al final.","On your back, legs long, palms up. Travel from the feet to the head, one breath per region, releasing whatever you find clenched. Jaw and upper traps last.","De barriga para cima, pernas longas, palmas para cima. Percorra o corpo dos pés à cabeça, uma respiração por zona, soltando o que achar preso. Mandíbula e trapézios no final."
Sentadilla cosaca,recuperacion,main,,Sin equipo,60s,Cossack Squat,Agachamento cossaco,"Pies bien abiertos. Baja el peso sobre una pierna dejando la otra estirada con la punta arriba. Pecho alto, talón de la pierna que baja pegado al piso. No llegues hasta abajo si la espalda se redondea.","Feet wide. Sit onto one leg, the other straight with the toes up. Chest tall, working heel down. Don't go all the way if the back rounds.","Pés bem abertos. Desça o peso sobre uma perna deixando a outra esticada com a ponta para cima. Peito alto, calcanhar da perna que desce colado no chão. Não vá até o fundo se as costas arredondarem."
"Flexión ""plus"" (protracción)",hombro,main,,Sin equipo,3×10-12,Push-Up Plus,Flexão plus (protração),"Plancha alta — o de rodillas, o contra la pared si el hombro está sensible. Flexión normal y, arriba, con los codos ya estirados, empuja el piso un poco más hasta que la espalda alta se redondee. Ese centímetro extra es el ejercicio.","High plank — or knees, or the wall if the shoulder is sensitive. Regular push-up, then at the top with elbows already straight, push the floor a little further until the upper back rounds. That extra centimeter is the exercise.","Prancha alta — ou de joelhos, ou na parede se o ombro estiver sensível. Flexão normal e, no alto, com os cotovelos já esticados, empurre o chão um pouco mais até as costas altas arredondarem. Esse centímetro a mais é o exercício."
Círculos de brazos completos,activacion,main,,Sin equipo,,Full Arm Circles,Círculos completos de braço,"De pie, abdomen firme para no arquear la lumbar. Círculos amplios hacia atrás pasando el bíceps cerca de la oreja, después hacia adelante. Lentos: esto lubrica el hombro, no es cardio.","Stand, abs braced so the low back doesn't arch. Big circles backward, biceps close to the ear, then forward. Slow: this lubricates the shoulder, it's not cardio.","Em pé, abdômen firme para não arquear a lombar. Círculos amplos para trás passando o bíceps perto da orelha, depois para frente. Devagar: isso lubrifica o ombro, não é cardio."
Cadera 90/90,recuperacion,main,,Sin equipo,60s,90/90 Hip Switch,Quadril 90/90,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Inclínate sobre la de adelante, vuelve, y pasa al otro lado levantando las rodillas sin usar las manos. Esa transición activa es el ejercicio.","Sit, one leg 90° in front, the other 90° to the side. Hinge over the front leg, come back, then switch sides by lifting the knees without using the hands. That active transition is the exercise.","Sentado, uma perna a 90° à frente e a outra a 90° ao lado. Incline sobre a da frente, volte e passe para o outro lado levantando os joelhos sem usar as mãos. Essa transição ativa é o exercício."
Flexión escapular,recuperacion,main,,Sin equipo,45s,Scapular Push-Up,Flexão escapular,"Plancha alta, codos estirados todo el tiempo. Deja caer el pecho juntando los omóplatos y después empuja el piso separándolos al máximo. El movimiento es de tres o cuatro centímetros.","High plank, elbows straight the whole time. Let the chest drop as the blades come together, then push the floor away and spread them. The movement is three or four centimeters.","Prancha alta, cotovelos esticados o tempo todo. Deixe o peito cair juntando as omoplatas e depois empurre o chão afastando-as ao máximo. O movimento tem três ou quatro centímetros."
Plancha lateral,core,main,,De costado,,Side Plank,Prancha lateral,"Codo debajo del hombro, cuerpo en línea de cabeza a pies. Empuja la cadera de abajo hacia el techo en vez de solo aguantar. Si tiembla, está bien; si la cadera se cae, corta el bloque.","Elbow under the shoulder, body in a line from head to feet. Drive the bottom hip toward the ceiling instead of just hanging out. Shaking is fine; if the hip drops, end the set.","Cotovelo sob o ombro, corpo em linha da cabeça aos pés. Empurre o quadril de baixo para o teto em vez de só aguentar. Se tremer, tudo bem; se o quadril cair, encerre o bloco."
Sóleo en pared,movilidad,main,,Pared,45s,Wall Soleus Stretch,Sóleo na parede,"Punta del pie contra la pared, talón en el piso. Lleva la rodilla hacia la pared manteniéndola flexionada. Rodilla doblada es sóleo. Si lo sientes en el vientre del gemelo, dobla más la rodilla.","Toes against the wall, heel down. Drive the knee toward the wall and keep it bent. Bent knee is soleus. If you feel it in the calf belly, bend the knee more.","Ponta do pé na parede, calcanhar no chão. Leve o joelho em direção à parede mantendo-o flexionado. Joelho dobrado é sóleo. Se sentir na barriga da panturrilha, dobre mais o joelho."
Bird dog dinámico,core-corredor,main,,Sin equipo,1×10 por lado,Dynamic Bird Dog,Bird dog dinâmico,"En cuadrupedia, extiende brazo y pierna contrarios hasta la línea del tronco y alterna sin pausas largas. Espalda plana, como un vaso de agua en la lumbar.","On all fours, reach opposite arm and leg in line with the torso and switch without long pauses. Flat back, like a glass of water on the low back.","Em quatro apoios, estenda braço e perna opostos até a linha do tronco e alterne sem pausas longas. Costas planas, como um copo d'água na lombar."
Dominada escapular,hombro,main,,Barra,3×8-12,Scapular Pull-Up,Barra escapular,"Colgado, brazos estirados. Sin flexionar los codos, junta los omóplatos hasta subir dos o tres centímetros. Sostén 2 segundos y baja.","Hang, arms straight. Without bending the elbows, pull the shoulder blades down and together until you rise two or three centimeters. Hold 2 seconds and lower.","Pendurado, braços esticados. Sem flexionar os cotovelos, junte as omoplatas até subir dois ou três centímetros. Segure 2 segundos e desça."
Piernas en la pared,movilidad,main,,Pared,120s,Legs Up the Wall,Pernas na parede,"Glúteos cerca de la pared, piernas verticales apoyadas, brazos al costado. No estás estirando: estás bajando pulsaciones. Si tira mucho de los isquios, aléjate un poco.","Hips near the wall, legs vertical against it, arms at your sides. You're not stretching: you're dropping the heart rate. If the hamstrings yank, scoot back.","Glúteos perto da parede, pernas verticais apoiadas, braços ao lado. Você não está alongando: está baixando as pulsações. Se puxar muito os posteriores, afaste um pouco."
Apertura de pecho boca abajo,movilidad,main,,Sin equipo,45s,Prone Chest Opener,Abertura de peito de bruços,"Boca abajo, un brazo en cruz a la altura del hombro. Rueda el cuerpo hacia ese lado apoyando el pie contrario. Busca el pecho, no el frente del hombro: si pinza adentro, baja el brazo unos centímetros.","Face down, one arm out in a T at shoulder height. Roll onto that side and plant the opposite foot. You're after the chest, not the front of the shoulder: if it pinches inside the joint, drop the arm a few centimeters.","De bruços, um braço em cruz na altura do ombro. Role o corpo para esse lado apoiando o pé contrário. Busque o peito, não a frente do ombro: se pinçar dentro da articulação, desça o braço alguns centímetros."
Face pull con banda,hombro,main,,Banda elástica,3×15,Band Face Pull,Face pull com faixa,"Banda a la altura de la cara. Trae las manos hacia la frente, codos atrás, y gira las manos hacia arriba hasta terminar como haciendo bíceps.","Band at face height. Pull the hands to the forehead, elbows back, and turn the hands up until you finish in a biceps-curl shape.","Faixa na altura do rosto. Traga as mãos à testa, cotovelos atrás, e gire as mãos para cima até terminar como num rosca."
Psoas con contracción y suelta,recuperacion,main,,Sin equipo,90s,Hip Flexor Contract-Relax,Psoas com contrair e soltar,"Media rodilla, pelvis metida. Empuja la rodilla de atrás contra el piso al 20% durante 5 segundos, suelta, y avanza un poco. Tres o cuatro ciclos. Ese contraer-y-soltar es lo que gana rango.","Half-kneeling, pelvis tucked. Press the back knee into the floor at 20% for 5 seconds, release, then ease the hip forward a little. Three or four cycles. That contract-relax is what actually gains range.","Meio ajoelhado, pelve encaixada. Empurre o joelho de trás contra o chão a 20% por 5 segundos, solte e avance um pouco. Três ou quatro ciclos. Esse contrair-e-soltar é o que ganha amplitude."
"Bajada excéntrica, pierna recta",aquiles,main,,Escalón,3×15 por lado,Straight-Knee Eccentric Calf Lower (Step),Descida excêntrica com perna reta (degrau),"En el escalón, sube con las dos, saca la pierna sana y baja solo con la de trabajo en 4-5 segundos, dejando el talón caer por debajo. Vuelve a apoyar la sana para subir. Nunca subas con la pierna irritada.","On the step, rise on both, take the healthy leg off and lower on the working side in 4–5 seconds, heel dropping below. Put the healthy side back to rise. Never go up on the irritated side.","No degrau, suba com as duas, tire a perna sadia e desça só com a de trabalho em 4–5 segundos, deixando o calcanhar cair abaixo. Apoie a sadia de novo para subir. Nunca suba com a perna irritada."
Rotación de cuello para respirar,activacion,main,,Sin equipo,30s,Breathing Neck Rotation,Rotação de pescoço para respirar,"Gira la cabeza como si respiraras al costado, despacio, y sostén mirando atrás. Mentón bajo, cerca del hombro. Un cuello rígido levanta la cabeza en vez de rotar.","Turn the head as if breathing to the side, slowly, and hold looking back. Chin low, close to the shoulder. A stiff neck lifts the head instead of rotating it.","Gire a cabeça como se fosse respirar de lado, devagar, e sustente olhando para trás. Queixo baixo, perto do ombro. Um pescoço rígido levanta a cabeça em vez de girar."
"Bajada excéntrica, pierna recta",aquiles,main,,Piso plano,3×15 por lado,Straight-Knee Eccentric Calf Lower (Floor),Descida excêntrica com perna reta (chão),"En el piso, no en el escalón. Sube a puntas con las dos, saca la pierna sana y baja con la de trabajo en 4-5 segundos hasta que el talón toque el piso, y ahí paras. Nunca más abajo: con dolor en la inserción ese rango aplasta el tendón contra el hueso.","On the floor, not a step. Rise on both, take the healthy side off and lower on the working side in 4–5 seconds until the heel kisses the floor — then stop. No lower: with insertional pain that extra range crushes the tendon against bone.","No chão, não no degrau. Suba nas pontas com as duas, tire a perna sadia e desça com a de trabalho em 4–5 segundos até o calcanhar tocar o chão, e aí pare. Nunca mais abaixo: com dor na inserção essa amplitude esmaga o tendão contra o osso."
CARs de hombro,recuperacion,main,,Sin equipo,60s,Shoulder CARs,CARs de ombro,"Brazo estirado: súbelo por adelante, rótalo y baja por atrás, el círculo más amplio posible. Costillas abajo, la otra mano en el esternón para sentir si el tronco se mueve.","Arm straight: lift it forward, rotate, and lower it behind you — biggest circle you can own. Ribs down, other hand on the sternum to catch any trunk cheat.","Braço esticado: suba pela frente, gire e desça por trás, o círculo mais amplo possível. Costelas para baixo, a outra mão no esterno para sentir se o tronco se mexe."
Tobillos y empeine,movilidad,main,,Sin equipo,45s,Ankle and Instep Sit,Tornozelos e peito do pé,"Sentado sobre los talones con los empeines planos en el piso. Sube apenas las rodillas para cargar el empeine. Después, círculos amplios de tobillo.",Sit on the heels with the insteps flat on the floor. Lift the knees slightly to load the top of the foot. Then big ankle circles.,"Sentado sobre os calcanhares com os peitos dos pés planos no chão. Suba um pouco os joelhos para carregar o peito do pé. Depois, círculos amplos de tornozelo."
Perro abajo a perro arriba,recuperacion,main,,Sin equipo,120s,Down Dog to Up Dog,Cachorro para baixo ao cachorro para cima,"Fluye al ritmo de la respiración: exhalas hacia perro boca abajo empujando los talones, inhalas a perro boca arriba abriendo el pecho. Sin apurar el tránsito.","Flow with the breath: exhale into downward dog, heels reaching; inhale into upward dog, chest open. Don't rush the transition.",Flua no ritmo da respiração: expire para o cachorro olhando para baixo empurrando os calcanhares; inspire para o cachorro olhando para cima abrindo o peito. Sem apressar a passagem.
Cruce de cadera externa,movilidad,main,,Sin equipo,45s,Supine Outer-Hip Cross,Cruzamento de quadril externo,"Boca arriba, lleva una rodilla cruzada al lado opuesto dejando que la pelvis rote, brazos abiertos. Buscas tensor y glúteo, por fuera de la cadera. La cintilla no se estira a golpes.","On your back, take one knee across and let the pelvis roll with it, arms open. You're after TFL and glute, on the outside of the hip. The IT band doesn't stretch by force.","De barriga para cima, leve um joelho cruzado ao lado oposto deixando a pelve girar, braços abertos. Você busca tensor e glúteo, por fora do quadril. A cintilha não alonga na força."
Plancha larga,core-ciclista,main,,Anti-extensión,1×20-30s,Long-Lever Plank,Prancha longa,"Plancha de antebrazos con los codos bastante más adelante que los hombros. Pelvis metida, costillas abajo. Busca la distancia donde aguantas el bloque sin que la lumbar se hunda.","Forearm plank with the elbows well ahead of the shoulders. Pelvis tucked, ribs down. Find the distance you can hold for the block without the low back sagging.","Prancha de antebraços com os cotovelos bem mais à frente do que os ombros. Pelve encaixada, costelas para baixo. Busque a distância em que você aguenta o bloco sem a lombar afundar."
Enrollado vertebral boca arriba,recuperacion,main,,Sin equipo,90s,Supine Segmental Bridge,Enrolar da coluna de barriga para cima,"Boca arriba, rodillas dobladas. Sube vértebra por vértebra hasta los omóplatos y baja igual de lento, de arriba hacia abajo. Lo que buscas es que la columna se articule por segmentos, no que suba alto.","On your back, knees bent. Peel up one vertebra at a time to the shoulder blades and lower just as slowly, top to bottom. You want the spine to articulate, not to get high.","De barriga para cima, joelhos dobrados. Suba vértebra por vértebra até as omoplatas e desça igualmente devagar, de cima para baixo. O que você busca é a coluna articular por segmentos, não subir alto."
Press de kettlebell invertida,hombro,main,,Kettlebell liviana,3×8 por brazo,Bottoms-Up Kettlebell Press,Desenvolvimento com kettlebell invertida,"Kettlebell al revés, pesa apuntando al techo, y presiona por arriba. Empieza ridículamente liviana: mantenerla derecha exige del manguito. Ahí se nota si el hombro ya está estable.","Kettlebell upside down, bell toward the ceiling, press overhead. Start ridiculously light: keeping it vertical asks everything of the cuff. That's where you find out if the shoulder is actually stable.","Kettlebell ao contrário, o peso apontando para o teto, e pressione acima da cabeça. Comece ridiculamente leve: mantê-la direita exige do manguito. É aí que se vê se o ombro já está estável."
Activación de transverso,recuperacion,main,,Sin equipo,60s,Transverse Abdominis Activation,Ativação do transverso,"Boca arriba, rodillas dobladas, manos por dentro de los huesos de la cadera. Inhala al abdomen; al exhalar lleva el ombligo adentro y arriba sin mover la pelvis. Deberías sentir una tensión suave bajo los dedos.","On your back, knees bent, hands inside the hip bones. Inhale into the belly; on the exhale draw the navel in and up without moving the pelvis. You should feel a gentle tension under the fingers.","De barriga para cima, joelhos dobrados, mãos por dentro dos ossos do quadril. Inspire no abdômen; ao expirar leve o umbigo para dentro e para cima sem mover a pelve. Você deve sentir uma tensão suave sob os dedos."
Sentadilla isométrica en pared,rodillas,main,,Pared,3×45s,Wall Sit,Isometria na parede,"Espalda contra la pared, rodillas a ~90°. Empuja los talones como si quisieras arrastrarlos hacia atrás y sostén. Si hoy la rodilla molesta, empieza por aquí.","Back to the wall, knees around 90°. Drive the heels as if dragging them backward and hold. If the knee is cranky today, start here.","Costas na parede, joelhos a ~90°. Empurre os calcanhares como se quisesse arrastá-los para trás e sustente. Se o joelho incomodar hoje, comece por aqui."
Guerrero I a II y Triángulo,recuperacion,main,,Sin equipo,120s,Warrior I to II to Triangle,Guerreiro I para II e Triângulo,"Guerrero I con la cadera al frente, abre a Guerrero II girando el torso, y desde ahí baja al triángulo con el brazo largo. Unas cinco respiraciones en cada una. Rodilla de adelante encima del tobillo, nunca por delante del pie.","Warrior I with the hip facing forward, open to Warrior II by turning the torso, then fold into triangle with a long arm. About five breaths in each. Front knee over the ankle, never past the toes.","Guerreiro I com o quadril à frente, abra para Guerreiro II girando o tronco e dali desça ao triângulo com o braço longo. Umas cinco respirações em cada. Joelho da frente sobre o tornozelo, nunca à frente do pé."
Plancha de oso con toques de hombro,core-ciclista,main,,Anti-rotación,1×16-20 toques,Bear Plank Shoulder Taps,Prancha de urso com toques no ombro,Cuadrupedia con las rodillas despegadas unos centímetros. Toca el hombro contrario. La cadera no bascula ni un grado.,"All fours, knees a few centimeters off the floor. Tap the opposite shoulder. Hips don't rock even a degree.",Quatro apoios com os joelhos descolados alguns centímetros. Toque o ombro contrário. O quadril não bascula nem um grau.
I-Y-T boca abajo,hombro,main,,Sin equipo,3×8 en cada posición,Prone I-Y-T,I-Y-T de bruços,"Boca abajo, frente apoyada, pulgares al techo. Despega los brazos adelante (I), en diagonal (Y) y en cruz (T). Omóplatos hacia abajo, nunca hacia las orejas. Sin peso hasta que salgan las repeticiones sin encoger el hombro.","Face down, forehead down, thumbs up. Lift the arms forward (I), on a diagonal (Y) and out to a T. Blades down, never toward the ears. No load until the reps happen without shrugging.","De bruços, testa apoiada, polegares para o teto. Descole os braços à frente (I), na diagonal (Y) e em cruz (T). Omoplatas para baixo, nunca em direção às orelhas. Sem peso até as repetições saírem sem encolher o ombro."
Dragón alado,recuperacion,main,,Sin equipo,90s,Flying Dragon (Lizard Variation),Dragão alado,"Estocada muy larga, manos por dentro del pie de adelante, rodilla de atrás en el piso. Deja que la rodilla de adelante caiga hacia afuera y baja a los antebrazos si llegas. Quédate en un 6 o 7 sobre 10. Sin rebotes.","Very long lunge, hands inside the front foot, back knee down. Let the front knee fall out and drop to the forearms if you get there. Stay at a 6 or 7 out of 10. No bouncing.","Passada bem longa, mãos por dentro do pé da frente, joelho de trás no chão. Deixe o joelho da frente cair para fora e desça aos antebraços se alcançar. Fique num 6 ou 7 de 10. Sem quiques."
Rodillo: dorsal,hombro,main,,Rodillo,1×60-90s por lado,Foam Roll: Lat,Foam roller: dorsal,"De costado, rodillo justo debajo de la axila, sobre el costado de las costillas. Cuando un punto se queje, frena y sube y baja el brazo despacio. Ese barrido despega más que seguir rodando.","On your side, roller just under the armpit on the side of the ribcage. When a spot complains, stop and slowly raise and lower the arm. That sweep peels tissue better than rolling on.","De lado, rolo logo abaixo da axila, no lado das costelas. Quando um ponto reclamar, pare e suba e desça o braço devagar. Esse vaivém descola mais do que continuar rolando."
Postura del niño con sesgo dorsal,hombro,main,,Sin equipo,1×2 min,Child's Pose with Lat Bias,Postura da criança com ênfase no dorsal,"Sentado sobre los talones, brazos adelante. Camina las dos manos bien hacia la izquierda para estirar el dorsal derecho, respira, y después hacia la derecha.","Sit on the heels, arms forward. Walk both hands well to the left to stretch the right lat, breathe, then to the right.","Sentado sobre os calcanhares, braços à frente. Caminhe as duas mãos bem para a esquerda para alongar o dorsal direito, respire, e depois para a direita."
CARs de columna,recuperacion,main,,Sin equipo,90s,Spinal CARs,CARs de coluna,"Sentado sobre los talones o en una silla. Segmento por segmento: flexión y extensión torácica, inclinación a cada lado, rotación. La cadera no se mueve: si se mueve, ya no estás moviendo la columna.","Sit on the heels or on a chair. Segment by segment: mid-back flexion and extension, side bend each way, rotation. Hips don't move: if they do, you're no longer moving the spine.","Sentado sobre os calcanhares ou numa cadeira. Segmento por segmento: flexão e extensão torácica, inclinação para cada lado, rotação. O quadril não se mexe: se mexer, você já não está movendo a coluna."
Sentadilla profunda sostenida,recuperacion,main,,Sin equipo,120s,Held Deep Squat,Agachamento profundo sustentado,"Abajo del todo, talones en el piso, codos por dentro de las rodillas empujando suave hacia afuera. Muévete adentro de la postura. Si los talones se levantan, apóyalos sobre algo.","All the way down, heels down, elbows inside the knees pressing gently out. Move around inside the pose. If the heels lift, put something under them.","Lá embaixo, calcanhares no chão, cotovelos por dentro dos joelhos empurrando de leve para fora. Mexa-se dentro da postura. Se os calcanhares subirem, apoie-os em alguma coisa."
Simulación de agarre con banda,activacion,main,,Banda larga,,Band Catch Drill,Simulação de pegada com faixa,"Banda anclada a media altura o pisada. Inclínate un poco adelante y empuja hacia los muslos con el brazo largo y el codo alto. Buscas recordar la presión, no corregir la técnica.","Band anchored at mid-height or under a foot. Hinge slightly and press toward the thighs with a long arm and high elbow. You're reminding the pressure, not rewriting technique.","Faixa ancorada na meia altura ou pisada. Incline um pouco à frente e empurre em direção às coxas com o braço longo e o cotovelo alto. Você quer lembrar a pressão, não corrigir a técnica."
Pie corto,aquiles,main,,Sin equipo,3×30s por lado,Short Foot,Pé curto,"Descalzo, pie apoyado. Acerca la base de los dedos al talón levantando el arco, sin arrugar los dedos y sin girar el tobillo. Es diminuto: cuando aparece, sientes el arco activo.","Barefoot, foot planted. Draw the ball of the foot toward the heel and lift the arch, without curling the toes or rolling the ankle. It's tiny: when you find it, the arch feels alive.","Descalço, pé apoiado. Aproxime a base dos dedos do calcanhar levantando o arco, sem enrugar os dedos e sem girar o tornozelo. É mínimo: quando aparece, você sente o arco ativo."
Deslizamiento de antebrazos en pared,hombro,main,,Pared,2×10,Wall Forearm Slides,Deslizamento de antebraços na parede,"De frente a la pared, antebrazos apoyados. Deslízalos hacia arriba y, arriba del todo, empuja la pared como si quisieras alejarte, dejando que los omóplatos se abracen a las costillas. Ese último empujón es el serrato.","Face the wall, forearms on it. Slide them up and at the top push the wall as if to move away from it, letting the blades wrap the ribcage. That last push is serratus.","De frente para a parede, antebraços apoiados. Deslize-os para cima e, no alto, empurre a parede como se quisesse se afastar, deixando as omoplatas abraçarem as costelas. Esse último empurrão é o serrátil."
Barridos 90-90 de cadera,core,main,,Sentado,,90/90 Hip Sweeps,Varreduras 90-90 de quadril,"Sentado, una pierna a 90° adelante y la otra a 90° al costado. Lleva las rodillas de un lado al otro como un limpiaparabrisas, lento. Pecho alto: si te encorvas, el movimiento sale de la lumbar. Ayúdate con las manos atrás si hace falta.","Sit, one leg 90° in front, the other 90° to the side. Sweep the knees side to side like a wiper, slowly. Chest tall: if you slump, the movement comes from the low back. Hands behind you if you need them.","Sentado, uma perna a 90° à frente e a outra a 90° ao lado. Leve os joelhos de um lado ao outro como um limpador de para-brisa, devagar. Peito alto: se curvar, o movimento sai da lombar. Apoie as mãos atrás se precisar."
Plancha alta con toque de hombro,core,main,,Boca abajo,,High Plank Shoulder Taps,Prancha alta com toque no ombro,"Plancha alta, pies bien separados. Toca el hombro contrario y vuelve. El objetivo no es tocar rápido: es que la cadera no se mueva ni un centímetro. Si baila, separa más los pies o apoya las rodillas.","High plank, feet well apart. Tap the opposite shoulder and return. The point isn't speed: the hips shouldn't move a centimeter. If they dance, widen the feet or drop the knees.","Prancha alta, pés bem separados. Toque o ombro contrário e volte. O objetivo não é tocar rápido: é o quadril não se mexer nem um centímetro. Se balançar, afaste mais os pés ou apoie os joelhos."
Plancha con alcance cruzado,core-ciclista,main,,Anti-rotación,1×10-12 alcances,Plank with Cross-Body Reach,Prancha com alcance cruzado,"Plancha alta. Estira una mano lejos y cruzada, pasando la línea de la otra mano, lento. La cadera no rota ni se hunde.","High plank. Reach one hand far and across, past the other hand's line, slowly. Hips don't rotate or sag.","Prancha alta. Estenda uma mão longe e cruzada, passando a linha da outra mão, devagar. O quadril não gira nem afunda."
CARs de cadera,recuperacion,main,,Sin equipo,60s,Hip CARs,CARs de quadril,"De pie o en cuadrupedia: rodilla al pecho, ábrela al costado, rótala atrás y baja. El círculo más grande que puedas sin que se mueva nada más que la cadera. Si el tronco compensa, achica el círculo.","Standing or on all fours: knee to chest, open it to the side, rotate it back and lower. Biggest circle you can make without anything else moving. If the torso cheats, shrink the circle.","Em pé ou em quatro apoios: joelho ao peito, abra ao lado, gire para trás e desça. O círculo maior que conseguir sem nada mais se mexer além do quadril. Se o tronco compensar, diminua o círculo."
Toques de talón (pingüinos),core,main,,Boca arriba,,Heel Taps (Penguins),Toques no calcanhar (pinguins),"Rodillas flexionadas, pies apoyados, omóplatos apenas despegados y ahí se quedan. Inclínate a un lado hasta tocar el talón, después al otro. Rango corto y rápido. Si la cabeza se apoya entre reps, el estímulo se corta.","Knees bent, feet down, shoulder blades just off the floor — and they stay there. Reach to tap one heel, then the other. Short and quick. If the head rests between reps, the stimulus cuts out.","Joelhos flexionados, pés apoiados, omoplatas só descoladas e ali ficam. Incline para um lado até tocar o calcanhar, depois o outro. Amplitude curta e rápida. Se a cabeça apoiar entre as reps, o estímulo corta."
Postura del niño a cobra,core,main,,Piso,,Child's Pose to Cobra Flow,Postura da criança à cobra,"Siéntate sobre los talones con los brazos adelante; deslízate hacia adelante dejando caer la cadera y abriendo el pecho. Ida y vuelta, respirando. Cierra quedándote en la postura del niño.","Sit back on the heels with the arms forward; slide forward, drop the hips and open the chest. Back and forth with the breath. Finish by staying in child's pose.","Sente-se sobre os calcanhares com os braços à frente; deslize para frente deixando o quadril cair e abrindo o peito. Ida e volta, respirando. Feche ficando na postura da criança."
Rotación externa acostado de costado,hombro,main,,Sin equipo,3×15-20 por brazo,Side-Lying External Rotation,Rotação externa deitado de lado,"De costado, brazo de arriba con el codo pegado a las costillas (una toalla abajo ayuda) y flexionado a 90°. Gira el antebrazo hacia el techo. Poco o nada de peso, muchas repeticiones.","On your side, top elbow pinned to the ribs (a towel helps) at 90°. Rotate the forearm toward the ceiling. Little or no weight, high reps.","De lado, braço de cima com o cotovelo colado nas costelas (uma toalha embaixo ajuda) e flexionado a 90°. Gire o antebraço para o teto. Pouco ou nenhum peso, muitas repetições."
Puente a una pierna isométrico,core-corredor,main,,Cadena posterior,1×30-40s por pierna,Isometric Single-Leg Bridge,Ponte unilateral isométrica,"Un talón cerca de los glúteos, la otra rodilla al pecho. Sube hasta alinear rodilla, cadera y hombro y quédate. Si lo sientes en la lumbar o en los isquios, mete la pelvis y baja la altura.","One heel close to the glutes, other knee hugged in. Lift until knee, hip and shoulder line up and stay there. If you feel it in the low back or hamstrings, tuck the pelvis and drop the height.","Um calcanhar perto dos glúteos, o outro joelho no peito. Suba até alinhar joelho, quadril e ombro e fique. Se sentir na lombar ou nos posteriores, encaixe a pelve e baixe a altura."
Movilidad de tobillo sin forzar,aquiles,main,,Sin equipo,1×90s por lado,Gentle Ankle Mobility,Mobilidade de tornozelo sem forçar,"Sentado, círculos amplios y lentos, después puntas hacia adelante sostenidas. Aquí no hay estiramiento de gemelo a propósito: con dolor en la inserción, la dorsiflexión máxima comprime el tendón. Movilidad sí, tironeo no.","Sit, slow big circles, then a held point. No calf stretch on purpose: with insertional pain, end-range dorsiflexion crushes the tendon. Mobility yes, yanking no.","Sentado, círculos amplos e lentos, depois pontas para frente sustentadas. Aqui não há alongamento de panturrilha de propósito: com dor na inserção, a dorsiflexão máxima comprime o tendão. Mobilidade sim, puxão não."
Postura de la rana,recuperacion,main,,Sin equipo,180s,Frog Pose,Postura da rã,"Rodillas abiertas en línea con la cadera, tobillos detrás de las rodillas, antebrazos en el piso. Baja hasta el primer punto de tensión y quédate respirando, sin buscar más. El tiempo hace el trabajo.","Knees wide in line with the hips, ankles behind the knees, forearms down. Sink to the first point of tension and stay there breathing — don't chase more. Time does the work.","Joelhos abertos na linha do quadril, tornozelos atrás dos joelhos, antebraços no chão. Desça até o primeiro ponto de tensão e fique respirando, sem buscar mais. O tempo faz o trabalho."
Paloma (pigeon),core,main,,Piso,60s,Pigeon Pose,Postura do pombo,"Pierna de adelante flexionada cruzada, la de atrás estirada y alineada, no abierta al costado. Presiona la espinilla de adelante contra el piso en vez de derrumbarte. Si la rodilla molesta, pon una almohada bajo la cadera.","Front shin across, back leg long and in line — not kicked out. Press the front shin into the floor instead of collapsing onto it. If the knee complains, pad the hip.","Perna da frente flexionada cruzada, a de trás esticada e alinhada, não aberta ao lado. Pressione a canela da frente contra o chão em vez de desabar em cima. Se o joelho incomodar, ponha uma almofada sob o quadril."
Plancha alta a perro boca abajo,core,main,,Boca abajo,,High Plank to Downward Dog,Prancha alta ao cachorro olhando para baixo,"Desde la plancha alta, empuja la cadera arriba y atrás hasta el perro boca abajo, talones al piso, y vuelve. Si los isquios están duros, flexiona un poco las rodillas: la espalda recta manda.","From high plank, push the hips up and back into downward dog, heels reaching, then return. If the hamstrings are stiff, soften the knees: the straight back wins.","Da prancha alta, empurre o quadril para cima e para trás até o cachorro olhando para baixo, calcanhares ao chão, e volte. Se os posteriores estiverem duros, dobre um pouco os joelhos: as costas retas mandam."
